"Timestamp","I envision the business receiving high-profile endorsements in the future.","I envision this business receiving favourable press coverage in the future.","I envision this business having a top management team that will benefit the organisation.","In general, this company will create value for its stakeholders. ","The policies of this company will cater to the interests of its stakeholders. ","I believe the activities of this company will benefit their immediate stakeholders","I had no difficulty imagining myself in the scenario (as a funder) presented earlier.","This question serves as an indicator for whether you actually take your time and carefully read the instructions. Please select the second from right option (4).","When jobs are scarce, men should have more of a right to a job than women. ","If a woman earns more money than her husband, it's almost certain to cause problems.","Women have the same rights as men.","On the whole, men make better political leaders than women do.","A university education is more important for a boy than for a girl.","When a mother works for pay, the children suffer.","Having a job is the best way for a woman to be an independent person.","On the whole, men make better business executives than women do.","It is usually better for everyone if the man is the achiever outside the home and the woman takes care of the home and family. ","Men should be given first chance at most jobs because they have the primary responsibility for providing for a family.","It is more important for a husband to commit his time to his work rather than helping his wife at home.","Young women should be encouraged to take jobs that are usually filled by men (engineering, management, etc.). ","If both husband and wife work, the husband should help out just as much as the women with the housework and childcare.","I have good knowledge of investing.","Equity-based crowdfunding is a funding practice I was already familiar with.","I am familiar with the industry the project is planning on operating in.","The product or the service of the previously shown project is targeted at customers of a specific sex.","I have participated in an equity-based crowdfunding project as a funder before.","What is your gender?","What is your age (in years)? ","What is your nationality?","What is your employment status?","What is your total household income per month, that means the sum of all net incomes of the people living in your household?","Have you owned a business in the past or do you currently own a business?","What is the highest degree or level of school you have completed?","What is your ethnical background?"
"2021/07/06 4:51:41 pm GMT+7","4","3","4","3","3","3","4","4","Disagree","Disagree","10","Disagree","Strongly disagree","Agree","Disagree","Disagree","2","2","2","3","4","3","2","3","2","No","Male","22","Vietnam","Employed part-time","501-1000 €","No","High school degree or equivalent","Asian / Pacific Islander"
"2021/07/06 4:59:55 pm GMT+7","4","5","4","4","5","3","5","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","1","5","5","3","1","2","3","No","Female","24","Germany","Student","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/06 6:38:49 pm GMT+7","4","4","4","4","3","3","4","4","Agree","Neither","10","Agree","Strongly disagree","Disagree","Agree","Disagree","1","1","1","5","5","1","4","2","2","No","Female","25","Russia","Employment full-time","1001-1500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/07 1:57:59 am GMT+7","3","2","2","3","2","2","2","4","Disagree","Disagree","9","Disagree","Disagree","Agree","Agree","Disagree","3","2","2","4","3","4","4","2","2","Yes","Male","22","Germany","Employment full-time","2001-2500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/07/07 2:53:26 am GMT+7","4","4","3","4","4","4","3","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Strongly disagree","2","2","2","4","5","3","2","3","2","No","Female","28","Germany","Employment full-time","2501-3000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/07/07 6:06:36 pm GMT+7","2","3","3","3","3","3","4","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Strongly disagree","2","2","2","4","4","4","4","2","3","No","Male","29","Germany","Unemployed - Currently looking for work","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/07/07 7:24:58 pm GMT+7","5","5","5","5","5","5","4","4","Disagree","Disagree","10","Agree","Disagree","Disagree","Agree","Agree","4","1","3","2","5","3","3","3","3","No","Female","23","Russia","Student","501-1000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/07 7:54:12 pm GMT+7","4","4","4","4","5","4","5","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Disagree","1","1","2","5","5","3","3","3","3","No","Female","25","Austria","Student","501-1000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/08 3:59:41 pm GMT+7","3","4","1","3","3","3","5","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Don't know","Strongly agree","Strongly disagree","5","1","1","5","5","5","5","1","3","Yes","Male","30","Germany","Employment full-time","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/07/09 10:58:12 pm GMT+7","4","4","5","4","4","4","4","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Disagree","5","1","3","5","5","5","5","3","3","No","Male","31","Mexico","Employment full-time","3001-3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Hispanic or Latino"
"2021/07/10 2:22:53 am GMT+7","5","5","5","4","5","4","4","4","Disagree","Agree","10","Disagree","Disagree","Disagree","Agree","Disagree","3","1","2","3","5","1","2","2","3","No","Female","28","Germany","Employment full-time","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/08/03 9:25:30 pm GMT+7","4","3","3","4","5","5","4","4","Don't know","Disagree","10","Strongly disagree","Strongly disagree","Don't know","Strongly agree","Strongly disagree","4","3","1","5","5","3","2","1","3","No","Male","27","Germany","Unemployed - Currently looking for work","1501-2000 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/08/11 2:37:02 pm GMT+7","4","5","5","3","4","4","3","4","Neither","Agree","7","Agree","Strongly disagree","Disagree","Agree","Agree","4","1","4","3","3","3","4","2","3","Yes","Male","25","Russia","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/08/12 12:07:00 pm GMT+7","3","4","4","3","4","4","4","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","1","1","1","5","5","2","2","2","3","No","Female","25","Vietnam","Employment full-time","2001-2500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/08/12 12:26:41 pm GMT+7","4","4","5","5","4","4","3","4","Disagree","Neither","10","Disagree","Strongly disagree","Disagree","Strongly agree","Disagree","3","1","1","5","5","3","4","1","3","Yes","Female","27","Vietnam","Employment full-time","> 3500 €","Yes","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/08/12 5:49:09 pm GMT+7","3","3","4","4","3","2","4","4","Disagree","Disagree","8","Disagree","Disagree","Disagree","Agree","Disagree","1","1","2","3","2","4","3","4","3","No","Male","33","Germany","Employment full-time","2001-2500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
