"Timestamp","I envision the business receiving high-profile endorsements in the future.","I envision this business receiving favourable press coverage in the future.","I envision this business having a top management team that will benefit the organisation.","In general, this company will create value for its stakeholders. ","The policies of this company will cater to the interests of its stakeholders. ","I believe the activities of this company will benefit their immediate stakeholders","I had no difficulty imagining myself in the scenario (as a funder) presented earlier.","This question serves as an indicator for whether you actually take your time and carefully read the instructions. Please select the second from right option (4).","When jobs are scarce, men should have more of a right to a job than women. ","If a woman earns more money than her husband, it's almost certain to cause problems.","Women have the same rights as men.","On the whole, men make better political leaders than women do.","A university education is more important for a boy than for a girl.","When a mother works for pay, the children suffer.","Having a job is the best way for a woman to be an independent person.","On the whole, men make better business executives than women do.","It is usually better for everyone if the man is the achiever outside the home and the woman takes care of the home and family. ","Men should be given first chance at most jobs because they have the primary responsibility for providing for a family.","It is more important for a husband to commit his time to his work rather than helping his wife at home.","Young women should be encouraged to take jobs that are usually filled by men (engineering, management, etc.). ","If both husband and wife work, the husband should help out just as much as the women with the housework and childcare.","I have good knowledge of investing.","Equity-based crowdfunding is a funding practice I was already familiar with.","I am familiar with the industry the project is planning on operating in.","The product or the service of the previously shown project is targeted at customers of a specific sex.","I have participated in an equity-based crowdfunding project as a funder before.","What is your gender?","What is your age (in years)? ","What is your nationality?","What is your employment status?","What is your total household income per month, that means the sum of all net incomes of the people living in your household?","Have you owned a business in the past or do you currently own a business?","What is the highest degree or level of school you have completed?","What is your ethnical background?"
"2021/06/22 3:04:06 pm GMT+7","5","5","5","5","5","5","5","4","Disagree","Agree","10","Disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","1","1","1","5","5","4","3","4","5","No","Female","38","South Africa","Self-employed","> 3500 €","Yes","High school degree or equivalent","Caucasian"
"2021/06/23 11:11:29 pm GMT+7","5","5","3","5","3","3","5","5","Disagree","Neither","10","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","1","1","1","5","5","3","3","3","3","No","Male","35","Philippines","Employment full-time","3001-3500 €","Yes","High school degree or equivalent","Asian / Pacific Islander"
"2021/06/24 12:05:55 am GMT+7","3","1","2","3","3","3","5","4","Neither","Neither","10","Disagree","Disagree","Disagree","Agree","Disagree","1","1","1","5","5","3","1","2","3","No","Female","24","Russia","Employed part-time","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/06/24 6:25:03 pm GMT+7","1","1","1","1","1","1","3","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Disagree","3","2","2","4","5","4","2","1","2","No","Male","29","France","Employment full-time","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/24 7:52:50 pm GMT+7","4","4","3","4","4","5","1","5","Disagree","Disagree","10","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","1","5","5","3","1","1","1","No","Female","31","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/25 2:08:46 am GMT+7","4","4","3","4","3","3","4","4","Disagree","Don't know","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","1","3","5","4","2","2","3","No","Male","28","Russia","Student","501-1000 €","Yes","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/06/25 11:30:49 pm GMT+7","4","4","3","4","4","4","4","4","Disagree","Disagree","10","Don't know","Strongly disagree","Disagree","Agree","Disagree","2","3","2","4","5","2","1","2","3","No","Female","26","Taiwan","Employed part-time","1501-2000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/26 3:08:32 am GMT+7","4","3","3","4","3","3","4","3","Disagree","Disagree","8","Disagree","Disagree","Disagree","Strongly agree","Disagree","2","3","2","3","4","2","3","4","4","No","Male","22","Taiwan","Student","501-1000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/26 2:30:47 pm GMT+7","3","4","5","4","4","3","5","5","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Disagree","1","1","1","5","5","4","3","4","3","No","Male","29","South Africa","Employment full-time","3001-3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/06/27 12:14:57 am GMT+7","4","5","2","4","4","5","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","1","2","1","5","5","4","2","2","3","No","Female","22","Taiwan","Student","2001-2500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/27 4:29:07 am GMT+7","4","3","3","2","3","4","3","","Disagree","Disagree","8","Disagree","Strongly disagree","Don't know","Agree","Disagree","1","2","2","3","5","2","3","2","3","No","Female","27","Taiwan","Student","≤ 500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/27 5:17:15 pm GMT+7","5","4","4","3","5","2","2","4","Disagree","Neither","10","Disagree","Strongly disagree","Disagree","Agree","Disagree","3","2","2","2","4","2","2","1","2","No","Female","22","Taiwan","Unemployed - Currently looking for work","> 3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/06/28 4:19:03 pm GMT+7","4","4","4","4","4","3","4","4","Disagree","Disagree","10","Disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","1","1","2","5","5","3","3","4","4","No","Female","30","Taiwan","Student","≤ 500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/28 4:56:49 pm GMT+7","4","4","4","4","4","4","4","4","Disagree","Disagree","10","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","1","1","1","5","5","2","4","1","3","No","Female","26","Germany","Employment full-time","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/06/28 10:31:45 pm GMT+7","4","4","4","4","4","4","5","4","Disagree","Neither","6","Strongly disagree","Strongly disagree","Disagree","Don't know","Strongly disagree","1","2","1","4","5","3","3","4","3","Yes","Female","24","Russia","Employment full-time","501-1000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/06/29 2:15:31 am GMT+7","4","5","3","4","4","4","1","4","Disagree","Agree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","3","1","3","5","5","4","4","2","3","No","Female","25","Russia","Employment full-time","2501-3000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/06/29 1:49:21 pm GMT+7","4","5","3","4","4","4","1","4","Disagree","Agree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","3","1","3","5","5","4","4","2","3","No","Female","25","Russia","Employment full-time","2501-3000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/06/29 1:57:54 pm GMT+7","4","3","5","4","3","4","2","4","Neither","Agree","8","Agree","Strongly disagree","Don't know","Agree","Don't know","3","1","2","4","3","3","3","4","3","No","Male","25","Russia","Employment full-time","501-1000 €","Yes","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/01 9:49:52 pm GMT+7","5","5","5","4","5","3","5","5","Neither","Agree","7","Agree","Strongly agree","Strongly agree","Disagree","Disagree","5","4","5","5","4","5","4","5","4","Yes","Male","23","Germany","Employment full-time","3001-3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/01 10:00:08 pm GMT+7","4","5","5","5","5","5","2","4","Disagree","Neither","10","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","2","1","1","2","4","5","5","5","3","No","Female","23","Germany","Employed part-time","3001-3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/01 10:00:38 pm GMT+7","4","5","5","5","5","5","2","4","Disagree","Neither","10","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","2","1","1","2","4","5","5","5","3","No","Female","23","Germany","Employed part-time","3001-3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/01 10:27:55 pm GMT+7","3","2","4","2","3","3","2","4","Disagree","Don't know","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","1","1","1","5","5","2","4","1","3","No","Male","25","United States","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/01 11:08:55 pm GMT+7","2","4","4","3","4","3","4","4","Disagree","Agree","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Disagree","3","1","1","5","5","3","3","2","3","No","Female","29","Germany","Employment full-time","1001-1500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Asian / Pacific Islander"
"2021/07/02 1:02:55 pm GMT+7","5","5","5","5","4","4","5","4","Disagree","Disagree","3","Disagree","Disagree","Disagree","Agree","Don't know","2","2","2","5","5","4","4","3","3","No","Male","29","Germany","Student","1001-1500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/07/02 3:39:57 pm GMT+7","4","2","1","2","3","2","4","5","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","1","1","1","5","5","4","5","2","3","No","Male","34","Belgium","Self-employed","1501-2000 €","Yes","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/07/02 11:01:49 pm GMT+7","4","4","5","5","4","4","4","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Disagree","1","1","1","5","5","3","3","2","3","No","Male","29","Germany","Employment full-time","501-1000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/03 12:21:18 pm GMT+7","4","3","3","4","4","4","3","4","Disagree","Disagree","9","Agree","Strongly disagree","Disagree","Agree","Strongly disagree","2","3","2","5","5","2","4","1","3","No","Female","26","Vietnam","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/03 4:39:38 pm GMT+7","5","4","4","4","3","3","3","4","Disagree","Agree","10","Disagree","Disagree","Disagree","Agree","Disagree","3","3","2","5","5","3","4","3","3","No","Female","27","Germany","Employment full-time","> 3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/03 5:55:22 pm GMT+7","4","4","4","4","4","4","4","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","3","2","3","4","5","4","5","4","3","No","Male","21","Germany","Student","1001-1500 €","Yes","High school degree or equivalent","Asian / Pacific Islander"
"2021/07/03 8:55:16 pm GMT+7","3","3","4","3","3","5","2","4","Disagree","Agree","8","Disagree","Strongly disagree","Strongly agree","Disagree","Disagree","4","1","3","3","5","3","1","2","2","No","Female","29","Belarus","Employment full-time","501-1000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
"2021/07/03 9:27:40 pm GMT+7","4","3","2","4","4","4","4","4","Disagree","Disagree","10","Disagree","Disagree","Disagree","Agree","Disagree","1","1","1","3","4","2","2","1","3","No","Male","26","Netherlands","Student","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/07/03 10:53:31 pm GMT+7","4","5","3","5","3","2","4","4","Disagree","Disagree","10","Disagree","Strongly disagree","Disagree","Agree","Don't know","2","3","2","5","4","3","5","4","2","No","Female","25","Russia","Student","3001-3500 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Other"
"2021/07/04 3:38:29 pm GMT+7","3","3","2","4","5","2","5","4","Neither","Disagree","6","Strongly agree","Disagree","Disagree","Agree","Agree","5","2","3","3","2","4","4","4","3","No","Male","24","Russia","Employment full-time","1501-2000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Other"
"2021/07/04 5:32:17 pm GMT+7","4","4","3","4","4","4","4","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","1","1","1","1","5","3","1","3","3","No","Male","23","Russia","Employment full-time","3001-3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/07/06 8:28:59 pm GMT+7","2","3","3","4","3","4","3","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","1","1","1","5","5","1","1","3","3","No","Male","28","Germany","Unemployed - Currently looking for work","1501-2000 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Caucasian"
"2021/07/06 8:35:20 pm GMT+7","4","4","3","4","4","2","4","4","Neither","Disagree","10","Disagree","Disagree","Disagree","Disagree","Disagree","2","2","2","3","4","3","2","3","3","No","Male","27","Germany","Self-employed","> 3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/06 9:40:44 pm GMT+7","4","4","3","4","4","2","4","4","Neither","Disagree","10","Disagree","Disagree","Disagree","Disagree","Disagree","2","2","2","3","4","3","2","3","3","No","Male","27","Germany","Self-employed","> 3500 €","Yes","Bachelor's degree (e.g. B. Arts, B. Sc.)","Asian / Pacific Islander"
"2021/07/09 9:19:44 pm GMT+7","4","3","3","3","3","4","3","5","Disagree","Disagree","8","Disagree","Strongly disagree","Disagree","Agree","Strongly disagree","2","2","1","5","5","3","4","3","3","No","Female","32","Nicaragua","Unemployed - Not currently looking for work","> 3500 €","No","Master's degree (e.g. M. Arts, M. Sc.)","Hispanic or Latino"
"2021/07/10 2:51:29 am GMT+7","4","3","3","4","3","3","2","4","Disagree","Disagree","10","Strongly disagree","Strongly disagree","Disagree","Agree","Strongly disagree","1","1","1","5","5","2","4","2","3","No","Female","28","South Africa","Employment full-time","1501-2000 €","No","Bachelor's degree (e.g. B. Arts, B. Sc.)","Caucasian"
